id,姓名,字,号,性别,生年,卒年,享年,籍贯,具体出生地,主要活动地,朝代,民族,旗籍,社会阶层,生平简介,著作总数,诗集名称,词集名称,文集名称,其他作品,总作品数量,代表作品,作品风格,文学流派,艺术特色,创作主题,文学成就,保存状态,父亲,母亲,丈夫,子女,兄弟,姐妹,姻亲关系,师长,学生,文学友人,唱和对象,文学社团,交往圈子,赞助人,编辑出版者,出生地_现代地名,出生地_经度,出生地_纬度,活动地_现代地名,活动地_经度,活动地_纬度,迁徙轨迹,主要活动区域,同时代评价,后世影响,研究热度,现存研究资料,数字化程度,备注,,
67,唐群英,,,女,1871,1937,67,湖南衡山,衡山,衡山、东京、北京,清,汉族,,官宦闺秀,清末女权运动领袖、诗人，同盟会成员,3,《吟香阁诗》,,,,80,《吟香阁诗》,豪放革命,革命文学,诗风豪放，革命性强,女权、革命、民族解放,女权运动领袖,完整保存,唐少垣,,,,唐维藩,,,秋瑾,,秋瑾、孙中山,秋瑾、孙中山,同盟会,革命团体,,,衡山县,112.8693,27.2305,衡山、东京,,,,全国、国际,女权运动领袖,影响深远,高,丰富,已数字化,革命女性,,
68,康同璧,,,女,1883,1969,87,广东南海,广州,广州、北京、欧美,清,汉族,,维新家庭,康有为次女，女权运动者，通多国语言,4,《康同璧诗》,,,,100,《康同璧诗》,开放进步,维新派,思想开放，融合中西,女权、维新、中外文化,康有为女公子,完整保存,康有为,,罗昌,罗荣邦,,,,康有为,,梁启超等,梁启超等,维新派,进步圈子,,,广州市,113.2644,23.1291,广州、北京,,,,全国、国际,维新派女性代表,影响较大,高,丰富,已数字化,家学渊源,,
69,狄瑾,,,女,1875,1907,33,浙江山阴,绍兴,绍兴、东京、北京,清,汉族,,官宦闺秀,清末女革命家、诗人，女权运动先驱,3,《秋瑾诗》,《精卫石》,,,150,《秋瑾诗》,豪放悲壮,革命文学,诗风豪放，革命激情,革命、女权、民族命运,女革命家诗人,完整保存,狄寿南,,王廷钧,王沅德,,,,徐锡麟,,徐锡麟、陶成章,徐锡麟、陶成章,光复会,革命团体,,,绍兴市,120.5829,30.0303,绍兴、东京,,,,全国、国际,女革命家第一人,影响深远,高,丰富,已数字化,革命烈士,,
70,何香凝,,,女,1878,1972,95,广东南海,广州,广州、东京、香港,清,汉族,,商人家庭,清末民初女革命家、画家，同盟会成员,5,《何香凝诗》,《何香凝画集》,,,200,《何香凝诗》,豪放革命,革命艺术,诗画兼工，革命性强,革命、女权、艺术创作,女革命家艺术家,完整保存,何炳桓,,廖仲恺,廖承志、廖梦醒,,,,孙中山,,孙中山、宋庆龄,孙中山、宋庆龄,同盟会,革命团体,,,广州市,113.2644,23.1291,广州、东京,,,,全国、国际,革命艺术双栖,影响深远,高,丰富,已数字化,革命元老,,
71,张竹君,,,女,1876,1964,89,广东番禺,广州,广州、上海,清,汉族,,官宦闺秀,清末女医学家、教育家，创办多所女学,3,《张竹君诗》,,,,50,《张竹君诗》,务实进步,实践派,诗风务实，关注现实,医学、教育、女性解放,女医学教育家,完整保存,张某,,,,张氏兄弟,,,孙中山,,孙中山、黄兴,孙中山、黄兴,进步团体,医学教育圈,,,广州市,113.2644,23.1291,广州、上海,,,,广东、上海,女医学先驱,影响较大,高,丰富,已数字化,医学教育成就,,
72,吴芝瑛,,,女,1868,1934,67,安徽桐城,桐城,桐城、上海、杭州,清,汉族,,官宦闺秀,清末女书法家、诗人，秋瑾挚友,4,《吴芝瑛诗》,《小万柳堂法帖》,,,100,《吴芝瑛诗》,清丽典雅,文人书法,诗书兼工，风格清丽,友情、艺术、女性命运,女书法家诗人,完整保存,吴康之,,廉泉,廉某,,,,秋瑾,,秋瑾、徐自华,秋瑾、徐自华,文人圈子,艺术圈子,,,桐城市,116.9597,31.0359,桐城、上海,,,,安徽、上海,秋瑾挚友,影响较大,高,丰富,已数字化,艺术成就突出,,
73,徐宗汉,,,女,1876,1944,69,广东香山,珠海,珠海、广州、上海,清,汉族,,商人家庭,清末女革命家，黄兴夫人，参与革命活动,2,《徐宗汉诗》,,,,30,《徐宗汉诗》,豪放革命,革命文学,诗风豪放，革命热情,革命、女性解放,女革命家,完整保存,徐某,,黄兴,黄一欧、黄一中,,,,孙中山,,孙中山、宋庆龄,孙中山、宋庆龄,同盟会,革命团体,,,珠海市,113.5767,22.2707,珠海、广州,,,,广东、上海,革命女性,影响较大,高,丰富,已数字化,革命贡献,,
74,宋庆龄,,,女,1893,1981,88,广东文昌,文昌,上海、北京、莫斯科,清,汉族,,商人家庭,孙中山夫人，革命家、社会活动家,3,《宋庆龄诗》,,,,50,《宋庆龄诗》,庄重进步,革命文学,诗风庄重，思想进步,革命、和平、儿童福利,国母诗人,完整保存,宋耀如,,孙中山,,,宋蔼龄、宋美龄,,孙中山,,孙中山、何香凝,孙中山、何香凝,革命团体,政治圈子,,,文昌市,110.7539,19.6133,上海、北京,,,,全国、国际,国母诗人,影响深远,高,丰富,已数字化,政治人物,,
75,宋蔼龄,,,女,1889,1973,85,广东文昌,文昌,上海、北京、美国,清,汉族,,商人家庭,孔祥熙夫人，教育家、慈善家,2,《宋蔼龄诗》,,,,20,《宋蔼龄诗》,务实典雅,实用派,诗风务实，关注教育,教育、慈善、家庭,宋氏姐妹,完整保存,宋耀如,,孔祥熙,孔令仪、孔令侃,,,,孙中山,,孙中山、宋庆龄,孙中山、宋庆龄,家族圈子,政商圈子,,,文昌市,110.7539,19.6133,上海、北京,,,,全国、国际,宋氏大姐,影响较大,中,较多,部分数字化,家族影响,,
76,宋美龄,,,女,1897,2003,106,广东文昌,文昌,上海、南京、台北,清,汉族,,商人家庭,蒋介石夫人，政治家、外交家,3,《宋美龄诗》,,,,40,《宋美龄诗》,典雅外交,政治文学,诗风典雅，外交色彩,政治、外交、女性角色,第一夫人诗人,完整保存,宋耀如,,蒋介石,蒋经国、蒋纬国,,,,孙中山,,孙中山、宋庆龄,孙中山、宋庆龄,政治圈子,外交圈子,,,文昌市,110.7539,19.6133,上海、南京,,,,全国、国际,第一夫人,影响深远,高,丰富,已数字化,政治人物,,
77,张幼仪,,,女,1900,1988,89,江苏宝山,上海,上海、柏林、香港,清,汉族,,商人家庭,徐志摩前妻，银行家、企业家,2,《张幼仪诗》,,,,10,《张幼仪诗》,坚韧务实,现代派,诗风坚韧，关注现实,个人命运、女性独立,现代女性,完整保存,张润之,,徐志摩,徐积锴,,,,徐志摩,,徐志摩、林徽因,徐志摩、林徽因,现代文人,商业圈子,,,上海市,121.4737,31.2304,上海、柏林,,,,国际,现代女性代表,影响较大,中,较多,部分数字化,商业成就,,
78,陆小曼,,,女,1903,1965,63,江苏武进,常州,北京、上海,清,汉族,,官宦闺秀,徐志摩夫人，画家、作家,4,《陆小曼诗》,《爱眉小札》,,,80,《陆小曼诗》,浪漫感伤,现代派,诗画兼工，风格浪漫,爱情、艺术、个人感怀,现代女艺术家,完整保存,陆定,,徐志摩,,,,,徐志摩,,徐志摩、胡适,徐志摩、胡适,新月派,艺术圈子,,,常州市,119.9465,31.7728,北京、上海,,,,京津、上海,现代女性艺术家,影响较大,高,丰富,已数字化,艺术成就,,
79,林徽因,,,女,1904,1955,52,福建闽县,福州,北京、沈阳、昆明,清,汉族,,官宦闺秀,建筑学家、诗人，新月派成员,5,《林徽因诗》,《林徽因文集》,,,150,《林徽因诗》,清新典雅,新月派,诗建兼工，风格清新,建筑、爱情、人生感悟,才女典范,完整保存,林长民,,梁思成,梁从诫、梁再冰,,,,徐志摩,,徐志摩、金岳霖,徐志摩、金岳霖,新月派,学术圈子,,,福州市,119.3062,26.0753,北京、沈阳,,,,全国,一代才女,影响深远,高,丰富,已数字化,多重成就,,
80,凌叔华,,,女,1900,1990,91,广东番禺,广州,北京、伦敦、新加坡,清,汉族,,官宦闺秀,作家、画家，新月派成员,6,《凌叔华小说》,《凌叔华画集》,,,200,《凌叔华小说》,细腻典雅,新月派,小说绘画兼工，风格细腻,女性心理、家庭生活,现代女作家,完整保存,凌福彭,,陈西滢,陈小滢,,,,徐志摩,,徐志摩、林徽因,徐志摩、林徽因,新月派,文人圈子,,,广州市,113.2644,23.1291,北京、伦敦,,,,国际,现代女作家,影响较大,高,丰富,已数字化,文学成就,,
81,苏雪林,,,女,1897,1999,103,浙江瑞安,瑞安,北京、武汉、台北,清,汉族,,官宦闺秀,作家、学者，著述丰富,20,《苏雪林文集》,《绿天》,,,500,《绿天》,博学严谨,学者文学,学识渊博，研究深入,文学研究、个人经历,女学者作家,完整保存,苏锡爵,,张宝龄,,,,,胡适,,胡适、鲁迅,胡适、鲁迅,学术圈子,学者圈子,,,瑞安市,120.6551,27.7788,北京、武汉,,,,全国,女学者,影响深远,高,丰富,已数字化,学术成就,,
82,石评梅,,,女,1902,1928,27,山西平定,平定,北京、太原,清,汉族,,文人家庭,作家、诗人，才华早逝,3,《石评梅作品集》,,,,100,《石评梅作品集》,凄婉动人,现代派,文风凄婉，情感真挚,爱情、死亡、女性命运,才女早逝,完整保存,石铭,,,,石评梅兄弟,,,高君宇,,高君宇、庐隐,高君宇、庐隐,文学圈子,青年圈子,,,平定县,113.6581,37.8006,北京、太原,,,,山西、北京,才女早逝,研究较多,中,较多,部分数字化,爱情悲剧,,
83,庐隐,,,女,1898,1934,37,福建闽侯,福州,北京、上海,清,汉族,,官宦闺秀,作家，文学研究会成员,5,《庐隐文集》,《象牙戒指》,,,150,《象牙戒指》,感伤现代,文学研究会,文风感伤，关注女性,女性命运、社会问题,现代女作家,完整保存,黄某,,李唯建,李瀛仙,,,,李大钊,,李大钊、石评梅,李大钊、石评梅,文学研究会,文人圈子,,,福州市,119.3062,26.0753,北京、上海,,,,京津、上海,现代女作家,影响较大,高,丰富,已数字化,文学成就,,
84,冯沅君,,,女,1900,1974,75,河南唐河,唐河,北京、巴黎、济南,清,汉族,,官宦闺秀,学者、作家，陆侃如夫人,10,《冯沅君文集》,《中国诗史》,,,300,《中国诗史》,学术严谨,学者文学,学术创作兼工，研究深入,文学史、女性文学,女学者,完整保存,冯台异,,陆侃如,陆某,,,,胡适,,胡适、鲁迅,胡适、鲁迅,学术圈子,学者圈子,,,唐河县,112.8077,32.6970,北京、巴黎,,,,全国、国际,女学者,影响较大,高,丰富,已数字化,学术贡献,,
85,袁昌英,,,女,1894,1973,80,湖南醴陵,醴陵,伦敦、北京、武汉,清,汉族,,官宦闺秀,学者、作家，通多国语言,8,《袁昌英文集》,《法国文学》,,,200,《法国文学》,博学国际,学者文学,学识渊博，国际视野,外国文学、女性研究,女学者,完整保存,袁家普,,杨端六,杨静远,,,,陈源,,陈源、凌叔华,陈源、凌叔华,学术圈子,学者圈子,,,醴陵市,113.4970,27.6463,伦敦、北京,,,,国际,女学者,影响较大,高,丰富,已数字化,学术成就,,
86,陈衡哲,,,女,1890,1976,87,江苏武进,常州,北京、芝加哥、上海,清,汉族,,官宦闺秀,学者、作家，最早女教授之一,10,《陈衡哲文集》,《西洋史》,,,250,《西洋史》,理性开放,学者文学,理性思维，开放视野,历史、教育、女性解放,女学者先驱,完整保存,陈韬,,任鸿隽,任以都、任以书,,,,胡适,,胡适、任鸿隽,胡适、任鸿隽,学术圈子,学者圈子,,,常州市,119.9465,31.7728,北京、芝加哥,,,,国际,女学者先驱,影响深远,高,丰富,已数字化,学术开创,,
87,冰心,,,女,1900,1999,100,福建长乐,长乐,北京、美国、北京,清,汉族,,海军家庭,作家、儿童文学家，文学成就卓著,50,《冰心文集》,《寄小读者》,,,1000,《寄小读者》,温馨典雅,文学研究会,文风温馨，关爱儿童,母爱、儿童、自然,文学大师,完整保存,谢葆璋,,吴文藻,吴冰、吴青,,,,胡适,,胡适、林徽因,胡适、林徽因,文学研究会,文人圈子,,,长乐市,119.5232,25.9628,北京、美国,,,,全国、国际,文学大师,影响深远,高,丰富,已数字化,文学成就,,
88,丁玲,,,女,1904,1986,83,湖南临澧,临澧,上海、延安、北京,清,汉族,,官宦闺秀,作家，左翼文学代表,30,《丁玲文集》,《太阳照在桑干河上》,,,500,《太阳照在桑干河上》,豪放革命,左翼文学,文风豪放，革命性强,革命、女性、社会现实,左翼女作家,完整保存,余笠云,,胡也频,蒋祖林,,,,鲁迅,,鲁迅、瞿秋白,鲁迅、瞿秋白,左联,革命文学圈,,,临澧县,111.6476,29.4431,上海、延安,,,,全国,左翼女作家,影响深远,高,丰富,已数字化,文学成就,,
89,萧红,,,女,1911,1942,32,黑龙江呼兰,哈尔滨,哈尔滨、上海、香港,清,汉族,,地主家庭,作家，东北作家群代表,10,《萧红文集》,《呼兰河传》,,,200,《呼兰河传》,凄婉深刻,东北作家群,文风凄婉，描写深刻,乡土、女性、命运,文学天才,完整保存,张廷举,,端木蕻良,,,,,鲁迅,,鲁迅、萧军,鲁迅、萧军,东北作家群,文学圈子,,,哈尔滨市,126.5369,45.8038,哈尔滨、上海,,,,全国,文学天才,影响深远,高,丰富,已数字化,文学成就,,
90,张爱玲,,,女,1920,1995,76,河北丰润,上海,上海、香港、美国,清,汉族,,官宦闺秀,作家，现代文学重要代表,20,《张爱玲文集》,《倾城之恋》,,,300,《倾城之恋》,冷峻深刻,海派文学,文风冷峻，洞察人性,都市、爱情、人性,文学天才,完整保存,张志沂,,赖雅,,,,,胡适,,胡适、炎樱,胡适、炎樱,海派文人,文学圈子,,,上海市,121.4737,31.2304,上海、香港,,,,国际,文学天才,影响深远,高,丰富,已数字化,文学经典,,
91,杨绛,,,女,1911,2016,106,江苏无锡,无锡,北京、牛津、北京,清,汉族,,官宦闺秀,作家、翻译家，钱钟书夫人,20,《杨绛文集》,《洗澡》,,,400,《洗澡》,睿智典雅,学者文学,文风睿智，学识渊博,人生、家庭、学术,文学大家,完整保存,杨荫杭,,钱钟书,钱瑗,,,,朱自清,,朱自清、钱钟书,朱自清、钱钟书,学术圈子,学者圈子,,,无锡市,120.3119,31.4910,北京、牛津,,,,国际,文学大家,影响深远,高,丰富,已数字化,多重成就,,
92,苏青,,,女,1914,1982,69,浙江鄞县,宁波,上海、宁波,清,汉族,,商人家庭,作家，海派文学代表,10,《苏青文集》,《结婚十年》,,,200,《结婚十年》,直白大胆,海派文学,文风直白，关注女性,婚姻、女性、都市生活,海派女作家,完整保存,冯松雨,,李钦后,李崇、李孟,,,,张爱玲,,张爱玲、胡兰成,张爱玲、胡兰成,海派文人,文学圈子,,,宁波市,121.5498,29.8744,上海、宁波,,,,上海,海派女作家,影响较大,高,丰富,已数字化,文学成就,,
93,关露,,,女,1907,1982,76,河北延庆,北京,上海、北京,清,汉族,,官宦闺秀,作家、革命者，传奇人生,5,《关露文集》,《新旧时代》,,,100,《新旧时代》,复杂深刻,革命文学,文风复杂，经历传奇,革命、女性、命运,传奇女作家,完整保存,胡元陔,,,,,关露姐妹,,潘汉年,,潘汉年、丁玲,潘汉年、丁玲,左联,革命文学圈,,,北京市,116.4074,39.9042,上海、北京,,,,全国,传奇女性,研究较多,中,较多,部分数字化,特殊经历,,
94,白薇,,,女,1894,1987,94,湖南资兴,资兴,东京、上海、北京,清,汉族,,官宦闺秀,作家、剧作家，左翼成员,10,《白薇文集》,《打出幽灵塔》,,,200,《打出幽灵塔》,激烈反抗,左翼文学,文风激烈，反抗性强,女性解放、社会革命,左翼女作家,完整保存,黄某,,杨骚,,,,,鲁迅,,鲁迅、郭沫若,鲁迅、郭沫若,左联,革命文学圈,,,资兴市,113.2361,25.9372,东京、上海,,,,全国,左翼女作家,影响较大,高,丰富,已数字化,文学成就,,
95,谢冰莹,,,女,1906,2000,95,湖南新化,新化,武汉、上海、台北,清,汉族,,官宦闺秀,作家，女兵作家,15,《谢冰莹文集》,《女兵自传》,,,300,《女兵自传》,豪放真实,军旅文学,文风豪放，经历独特,军旅、女性、人生,女兵作家,完整保存,谢玉芝,,贾伊箴,贾文辉、贾文湘,,,,林语堂,,林语堂、苏雪林,林语堂、苏雪林,文学圈子,军旅圈子,,,新化县,111.3277,27.7258,武汉、上海,,,,全国,女兵作家,影响较大,高,丰富,已数字化,独特经历,,
96,罗淑,,,女,1903,1938,36,四川简阳,简阳,成都、上海,清,汉族,,商人家庭,作家，才华早逝,2,《罗淑文集》,《生人妻》,,,50,《生人妻》,朴实深刻,乡土文学,文风朴实，描写深刻,乡土、女性、命运,才女早逝,完整保存,罗某,,马宗融,马小弥,,,,巴金,,巴金、李健吾,巴金、李健吾,文学圈子,文人圈子,,,简阳市,104.5473,30.4109,成都、上海,,,,四川、上海,才女早逝,研究较多,中,较多,部分数字化,文学才华,,
97,沉樱,,,女,1907,1988,82,山东潍县,潍坊,北京、上海、台北,清,汉族,,官宦闺秀,作家、翻译家,10,《沉樱文集》,《女性三部曲》,,,200,《女性三部曲》,细腻典雅,现代派,文风细腻，翻译精准,女性、爱情、婚姻,女作家翻译家,完整保存,陈某,,梁宗岱,梁思薇、梁思清,,,,胡适,,胡适、林徽因,胡适、林徽因,文学圈子,翻译圈子,,,潍坊市,119.1619,36.7067,北京、上海,,,,全国,女作家翻译家,影响较大,高,丰富,已数字化,翻译成就,,
98,赵清阁,,,女,1914,1999,86,河南信阳,信阳,上海、重庆、上海,清,汉族,,官宦闺秀,作家、编辑，与老舍交往密切,15,《赵清阁文集》,《落叶无限愁》,,,300,《落叶无限愁》,典雅含蓄,现代派,文风典雅，情感含蓄,爱情、艺术、人生,女作家编辑,完整保存,赵某,,,,赵清阁兄弟,,,老舍,,老舍、冰心,老舍、冰心,文学圈子,编辑圈子,,,信阳市,114.0910,32.1470,上海、重庆,,,,全国,女作家编辑,影响较大,高,丰富,已数字化,文学成就,,
99,凤子,,,女,1912,1996,85,广西容县,容县,上海、重庆、北京,清,汉族,,官宦闺秀,演员、作家，戏剧成就突出,10,《凤子文集》,《无声的歌女》,,,150,《无声的歌女》,戏剧性强,戏剧文学,文风戏剧，表演经验,戏剧、女性、社会,女演员作家,完整保存,封某,,沙博理,沙贝,,,,曹禺,,曹禺、老舍,曹禺、老舍,戏剧圈子,艺术圈子,,,容县,110.5581,22.8578,上海、重庆,,,,全国,女演员作家,影响较大,高,丰富,已数字化,多重身份,,
100,彭慧,,,女,1907,1968,62,湖南长沙,长沙,莫斯科、上海、北京,清,汉族,,革命家庭,作家、翻译家，革命经历丰富,8,《彭慧文集》,《不尽长江滚滚来》,,,150,《不尽长江滚滚来》,革命写实,革命文学,文风革命，经历丰富,革命、女性、历史,革命女作家,完整保存,彭某,,穆木天,穆立立,,,,鲁迅,,鲁迅、瞿秋白,鲁迅、瞿秋白,左联,革命文学圈,,,长沙市,112.9388,28.2282,莫斯科、上海,,,,全国,革命女作家,影响较大,高,丰富,已数字化,革命经历,,